,CAMS-CSM1-0,MRI-ESM2-0,GFDL-ESM4,CanESM5,CESM2-WACCM,BCC-CSM2-MR,BCC-ESM1,CESM2,IPSL-CM6A-LR,MIROC6
t1991,0.35062600010735423,0.76019287109375,0.58978271484375,0.905242919921875,0.768096923828125,0.6663505758363613,0.80208476094964,0.71826171875,0.716827392578125,0.37628173828125
t2001,0.4929203810065701,0.89776611328125,0.695281982421875,1.198211669921875,0.87738037109375,0.7915216103437501,0.9504975552335395,0.91754150390625,0.845733642578125,0.54730224609375
t2011,0.5855764510201311,1.02392578125,0.812835693359375,1.43841552734375,1.0078125,0.9644051223277756,1.0801761490631065,1.09442138671875,1.021453857421875,0.69757080078125
t2021,0.772981770688375,1.267822265625,1.0216064453125,1.863525390625,1.271331787109375,1.2418895733459294,1.2820887939342356,1.337646484375,1.34625244140625,0.924072265625
t2031,0.9939430476181315,1.6142578125,1.295166015625,2.394561767578125,1.642242431640625,1.5996420904153865,,1.65704345703125,1.789947509765625,1.23583984375
t2041,1.2723319490262384,1.980377197265625,1.63104248046875,2.99609375,2.098663330078125,1.969404708854313,,2.02740478515625,2.24884033203125,1.53326416015625
t2051,1.5313122272233954,2.34381103515625,2.001800537109375,3.5789794921875,2.54852294921875,2.3255335486266517,,2.485107421875,2.722991943359375,1.861328125
t2061,1.8341181418410883,2.689697265625,2.39813232421875,4.184478759765625,3.027191162109375,2.7110118107658536,,3.025238037109375,3.22271728515625,2.143310546875
t2071,2.1015741747082757,3.04217529296875,2.761627197265625,4.7864990234375,3.49481201171875,3.085561526503227,,3.541107177734375,3.82684326171875,2.47528076171875
